Date,RollingVolatility_7d
1980-03-27,0.009959816727922611
1980-04-03,0.005600343899400581
1980-04-11,0.01582115749162837
1980-04-18,0.012611584108957803
1980-04-25,0.011003006076033932
1980-05-02,0.005394455981397502
1980-05-09,0.00802285826215791
1980-05-16,0.007440584314825167
1980-05-23,0.013261289890395947
1980-06-02,0.00833824460774218
1980-06-09,0.0033083938380768056
1980-06-16,0.0037417079111688525
1980-06-23,0.0018864723201870162
1980-06-30,0.029506741075097074
1980-07-08,0.003672754744648
1980-07-15,0.03538222965763108
1980-07-22,0.011725875567636022
1980-07-29,0.0038545696247618915
1980-08-05,0.005126477392241024
1980-08-12,0.004655556977529273
1980-08-19,0.009629058260128052
1980-08-26,0.007254508689619388
1980-09-03,0.008078655213223453
1980-09-10,0.0032765727904968374
1980-09-17,0.013406501036876526
1980-09-24,0.009905435551290998
1980-10-01,0.006974757176416288
1980-10-08,0.023139273578851764
1980-10-15,0.01764877048925342
1980-10-22,0.014429270910837155
1980-10-29,0.007563383421028894
1980-11-06,0.028333883105735425
1980-11-13,0.019773099577690474
1980-11-20,0.009971719731817076
1980-11-28,0.007611893218818687
1980-12-05,0.007750330915218824
1980-12-12,0.011880695010372965
1980-12-19,0.005841883116840764
1980-12-29,0.005628586901090675
1981-01-06,0.00736666129966246
1981-01-13,0.00554571170603371
1981-01-20,0.005886868329720265
1981-01-27,0.00829345395556697
1981-02-03,0.00974421399337807
1981-02-10,0.007227283778474193
1981-02-18,0.012799338327703073
1981-02-25,0.006053309923678989
1981-03-04,0.0045973591700774925
1981-03-11,0.026764391854475628
1981-03-18,0.029536465825459275
1981-03-25,0.00914533722287559
1981-04-01,0.015104349730220705
1981-04-08,0.013046290588828734
1981-04-15,0.043007425586861006
1981-04-23,0.046298577963176615
1981-04-30,0.0238351445741245
1981-05-07,0.04018613587083056
1981-05-14,0.03682775021979424
1981-05-21,0.03348548731465867
1981-05-29,0.06154167241951755
1981-06-05,0.028671366132527513
1981-06-12,0.04500624110092827
1981-06-19,0.05613752111778197
1981-06-26,0.023806547068873384
1981-07-06,0.016534410951031
1981-07-13,0.02607558457764443
1981-07-20,0.014373489083350758
1981-07-27,0.014428956875403286
1981-08-03,0.013059064637403413
1981-08-10,0.040112410072793835
1981-08-17,0.02578665257188908
1981-08-24,0.006050919460784406
1981-08-31,0.021588372823205134
1981-09-08,0.03292554256357418
1981-09-15,0.02030712900018777
1981-09-22,0.007151896759760004
1981-09-29,0.04443660532522547
1981-10-06,0.08096971493197641
1981-10-13,0.03578177454468561
1981-10-20,0.03214552437155789
1981-10-27,0.025103080680970846
1981-11-03,0.029913848813321844
1981-11-10,0.01923673876795147
1981-11-17,0.00778556496981501
1981-11-24,0.007257323054409634
1981-12-02,0.008153791371216594
1981-12-09,0.032948032894899254
1981-12-16,0.007708495801180458
1981-12-23,0.012244087001647133
1981-12-31,0.07848413968016889
1982-01-08,0.020196827870186413
1982-01-15,0.010220288365147517
1982-01-22,0.010043603578437746
1982-01-29,0.031701974537219436
1982-02-05,0.013426013796024606
1982-02-12,0.019170579733014337
1982-02-22,0.010970249264928502
1982-03-01,0.014244038877291806
1982-03-08,0.016578443983343755
1982-03-15,0.024743293477202652
1982-03-22,0.019052338351392202
1982-03-29,0.02150587997691487
1982-04-05,0.011874258077605792
1982-04-13,0.019388193102973118
1982-04-20,0.007349799536600149
1982-04-27,0.029024699190728198
1982-05-04,0.014484192661658386
1982-05-11,0.02510196590899568
1982-05-18,0.021898707326787673
1982-05-25,0.010140882444901954
1982-06-02,0.02197720117887745
1982-06-09,0.01386387804709449
1982-06-16,0.011877262767229103
1982-06-23,0.022710233888570044
1982-06-30,0.05170144008113377
1982-07-08,0.02599032869537322
1982-07-15,0.014753776362121497
1982-07-22,0.012294821894804221
1982-07-29,0.01715975347169098
1982-08-05,0.00044314534096904503
1982-08-12,0.02061447837043002
1982-08-19,0.008605747729651846
1982-08-26,0.01461631137867375
1982-09-02,0.03581699258435209
1982-09-10,0.009382412622205
1982-09-17,0.017948790212464646
1982-09-24,0.00919509677940873
1982-10-01,0.018439203014161288
1982-10-08,0.01449541590776428
1982-10-15,0.02738369945502986
1982-10-22,0.03591747781900882
1982-10-29,0.018345063375788777
1982-11-05,0.021755883567876073
1982-11-12,0.02149772762878546
1982-11-19,0.011935143597946275
1982-11-29,0.0222033032497634
1982-12-06,0.01263543247645327
1982-12-13,0.024076088902467513
1982-12-20,0.0011035865992553044
1982-12-28,0.04976542940557338
1983-01-04,0.006167928947375209
1983-01-11,0.010704197933189141
1983-01-18,0.01699752540979028
1983-01-25,0.0308543653656521
1983-02-01,0.01397720971374258
1983-02-08,0.014834250117596653
1983-02-15,0.007739779402988153
1983-02-23,0.021479061434281178
1983-03-02,0.015085143130990856
1983-03-09,0.01695867247752606
1983-03-16,0.008035349650108567
1983-03-23,0.017452703367726412
1983-03-30,0.01062191733794483
1983-04-07,0.01437177114583202
1983-04-14,0.01227759331582315
1983-04-21,0.017921521718474435
1983-04-28,0.0074279857188342775
1983-05-05,0.014068108557108338
1983-05-12,0.006829320129613939
1983-05-19,0.010307151637604798
1983-05-26,0.006835739937491769
1983-06-03,0.017363855413925895
1983-06-10,0.010809901545548143
1983-06-17,0.02233274328577182
1983-06-24,0.03544515574900236
1983-07-01,0.02419660890939609
1983-07-11,0.016267549075838807
1983-07-18,0.011273357311606908
1983-07-25,0.006219446392846382
1983-08-01,0.021774708811717607
1983-08-08,0.006328970229446977
1983-08-15,0.0049355014487971124
1983-08-22,0.010512087990670715
