Date,RollingVolatility_90d
1980-08-07,0.0171972532190374
1980-08-14,0.01626858386033144
1980-08-21,0.015624402963451961
1980-08-28,0.015400286619822635
1980-09-05,0.01362471474737771
1980-09-12,0.013178659585502213
1980-09-19,0.013818519952809662
1980-09-26,0.014240568215158324
1980-10-03,0.014019414197433926
1980-10-10,0.015410977279789495
1980-10-17,0.016404314099019605
1980-10-24,0.016564270845507982
1980-10-31,0.014895181736971606
1980-11-10,0.01667992266090447
1980-11-17,0.016405578479624053
1980-11-24,0.015007554320854693
1980-12-02,0.014589019388149615
1980-12-09,0.018680358807808134
1980-12-16,0.016690232578991347
1980-12-23,0.015562946976670674
1980-12-31,0.014090031556098448
1981-01-08,0.014208905664088405
1981-01-15,0.01362053166868563
1981-01-22,0.01077230365301221
1981-01-29,0.010144969983900342
1981-02-05,0.010092547073548183
1981-02-12,0.009849393538958645
1981-02-20,0.010867068344613514
1981-02-27,0.011455111848159031
1981-03-06,0.013046953613704754
1981-03-13,0.016083838638650306
1981-03-20,0.022432908038310346
1981-03-27,0.021019382604608845
1981-04-03,0.020080826864142986
1981-04-10,0.027710812158868555
1981-04-20,0.03204942568489289
1981-04-27,0.03694193750765615
1981-05-04,0.03681333258374965
1981-05-11,0.038375270891869484
1981-05-18,0.038220789766268304
1981-05-26,0.03252264387173349
1981-06-02,0.04208562129782931
1981-06-09,0.03302079552286348
1981-06-16,0.04560549794793355
1981-06-23,0.039065950400044215
1981-06-30,0.03871409799685463
1981-07-08,0.04335780584854543
1981-07-15,0.04073773310744856
1981-07-22,0.038466402604372174
1981-07-29,0.03750701555531787
1981-08-05,0.036094384564529715
1981-08-12,0.033165277722337204
1981-08-19,0.03087381669253347
1981-08-26,0.027813143841415335
1981-09-02,0.034283561626274446
1981-09-10,0.03453994844808943
1981-09-17,0.0335751846699523
1981-09-24,0.030254605599219164
1981-10-01,0.055327329009121184
1981-10-08,0.05128914965774924
1981-10-15,0.042939451176971156
1981-10-22,0.04274839451204515
1981-10-29,0.025596520313773876
1981-11-05,0.029444379827776448
1981-11-12,0.02396735019527429
1981-11-19,0.022072484407273163
1981-11-27,0.019476034510524404
1981-12-04,0.013117470158401935
1981-12-11,0.030610631677013892
1981-12-18,0.02399702896977776
1981-12-28,0.023601333220561318
1982-01-05,0.05430274070480895
1982-01-12,0.0271847442443924
1982-01-19,0.02270144682270417
1982-01-26,0.0303411016386783
1982-02-02,0.03616690614407828
1982-02-09,0.027265211212477918
1982-02-17,0.025605027182493148
1982-02-24,0.023748221040936112
1982-03-03,0.02341121772302729
1982-03-10,0.02574503153842085
1982-03-17,0.027109309603578387
1982-03-24,0.023128959153093116
1982-03-31,0.02442112302217399
1982-04-07,0.025698430623595888
1982-04-15,0.021475793455354542
1982-04-22,0.02673276719880705
1982-04-29,0.034929838966092495
1982-05-06,0.02392611011237474
1982-05-13,0.024543282771808603
1982-05-20,0.024285559088969705
1982-05-27,0.022593660014171315
1982-06-04,0.02184898402676758
1982-06-11,0.019473987545469567
1982-06-18,0.01994568787658313
1982-06-25,0.018901124197875502
1982-07-02,0.03540667829518609
1982-07-12,0.024589959793800957
1982-07-19,0.020158183545966123
1982-07-26,0.019626323857427855
1982-08-02,0.01939045602359775
1982-08-09,0.015894920471704387
1982-08-16,0.017598286743223918
1982-08-23,0.028025991814478252
1982-08-30,0.02267758423465045
1982-09-07,0.02583519505559829
1982-09-14,0.023358314534648317
1982-09-21,0.018172939360900257
1982-09-28,0.022991724516377907
1982-10-05,0.020511337731112234
1982-10-12,0.031456699763491
1982-10-19,0.026783396487541127
1982-10-26,0.027406319980540553
1982-11-02,0.02369529494505704
1982-11-09,0.02150834687670912
1982-11-16,0.021778705574153484
1982-11-23,0.024486089009985917
1982-12-01,0.0218663925972344
1982-12-08,0.023139911271805872
1982-12-15,0.02224262379026188
1982-12-22,0.021683612707909587
1982-12-30,0.022965949433224664
1983-01-06,0.024425209731302435
1983-01-13,0.022070756182618497
1983-01-20,0.027450253997707112
1983-01-27,0.024639084758522223
1983-02-03,0.025097762295212562
1983-02-10,0.02255397619720459
1983-02-17,0.022757091561403677
1983-02-25,0.021242273350489536
1983-03-04,0.01987965037228431
1983-03-11,0.019999405880134463
1983-03-18,0.020706065829717547
1983-03-25,0.019816788547786075
1983-04-04,0.018244789915207647
1983-04-11,0.019278349711790457
1983-04-18,0.017502698619971113
1983-04-25,0.0186116368315333
1983-05-02,0.020094619724892446
1983-05-09,0.016832253079695877
1983-05-16,0.01672738489222567
1983-05-23,0.016132938150298703
1983-05-31,0.015429564543298777
1983-06-07,0.014685675626824284
1983-06-14,0.015866775691333487
1983-06-21,0.017192939670624442
1983-06-28,0.020156643102348156
1983-07-06,0.022261662703934936
1983-07-13,0.02191085918985109
1983-07-20,0.016817803452502278
1983-07-27,0.023116866677051626
1983-08-03,0.02291756125022043
1983-08-10,0.017394360140796074
1983-08-17,0.017549322746607417
1983-08-24,0.016374220901309463
1983-08-31,0.01842129552903058
1983-09-08,0.01990870018069818
1983-09-15,0.0179682317236233
1983-09-22,0.01719095333801477
1983-09-29,0.020458583581929177
1983-10-06,0.01903429279742653
1983-10-13,0.018650078163729926
1983-10-20,0.02019071684820485
1983-10-27,0.0191560837069962
1983-11-03,0.017054126125355146
1983-11-10,0.015174841742696479
1983-11-17,0.015800218136150637
1983-11-25,0.015263146004177516
1983-12-02,0.013557799942674208
1983-12-09,0.017730940076519312
1983-12-16,0.015144026806600342
1983-12-23,0.015433084349737062
1984-01-03,0.015471877057173311
1984-01-10,0.01826585977656941
